result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
80,DNF,0.0,43,J. Miller,Ducati Lenovo Team,6 laps,Race,MotoGP,QAT,2022,0
81,DNF,0.0,72,M. Bezzecchi,Mooney VR46 Racing Team,6 laps,Race,MotoGP,QAT,2022,0
82,1,25.0,35,S. Chantra,IDEMITSU Honda Team Asia,25:40.876,Race,Moto2,INA,2022,1
83,2,20.0,13,C. Vietti,Mooney VR46 Racing Team,+3.230,Race,Moto2,INA,2022,1
84,3,16.0,40,A. Canet,Flexbox HP40,+4.366,Race,Moto2,INA,2022,1
85,4,13.0,22,S. Lowes,Elf Marc VDS Racing Team,+7.918,Race,Moto2,INA,2022,1
86,5,11.0,37,A. Fernandez,Red Bull KTM Ajo,+12.228,Race,Moto2,INA,2022,1
87,6,10.0,79,A. Ogura,IDEMITSU Honda Team Asia,+12.384,Race,Moto2,INA,2022,1
88,7,9.0,54,F. Aldeguer ,MB Conveyors Speed Up,+12.696,Race,Moto2,INA,2022,1
89,8,8.0,14,T. Arbolino,Elf Marc VDS Racing Team,+14.547,Race,Moto2,INA,2022,1
90,9,7.0,51,P. Acosta,Red Bull KTM Ajo,+17.786,Race,Moto2,INA,2022,1
91,10,6.0,75,A. Arenas,Inde GASGAS Aspar Team,+18.327,Race,Moto2,INA,2022,1
92,11,5.0,16,J. Roberts,Italtrans Racing Team,+18.509,Race,Moto2,INA,2022,1
93,12,4.0,6,C. Beaubier,American Racing,+18.566,Race,Moto2,INA,2022,1
94,13,3.0,9,J. Navarro,Flexbox HP40,+19.711,Race,Moto2,INA,2022,1
95,14,2.0,52,J. Alcoba,Liqui Moly Intact GP,+19.960,Race,Moto2,INA,2022,1
96,15,1.0,64,B. Bendsneyder,Pertamina Mandalika SAG Team,+20.551,Race,Moto2,INA,2022,1
97,16,0.0,23,M. Schrotter,Liqui Moly Intact GP,+23.047,Race,Moto2,INA,2022,1
98,17,0.0,42,M. Ramirez,MV Agusta Forward Racing,+23.218,Race,Moto2,INA,2022,1
99,18,0.0,18,M. Gonzalez,Yamaha VR46 Master Camp Team,+24.179,Race,Moto2,INA,2022,1
100,19,0.0,5,R. Fenati,MB Conveyors Speed Up,+25.133,Race,Moto2,INA,2022,1
101,20,0.0,19,L. Dalla Porta,Italtrans Racing Team,+26.954,Race,Moto2,INA,2022,1
102,21,0.0,12,F. Salac,Gresini Racing Moto2,+27.678,Race,Moto2,INA,2022,1
103,22,0.0,2,G. Rodrigo,Pertamina Mandalika SAG Team,+29.548,Race,Moto2,INA,2022,1
104,23,0.0,84,Z. Van Den Goorbergh,RW Racing GP,+31.773,Race,Moto2,INA,2022,1
105,24,0.0,61,A. Zaccone,Gresini Racing Moto2,+32.436,Race,Moto2,INA,2022,1
106,25,0.0,28,N. Antonelli,Mooney VR46 Racing Team,+33.974,Race,Moto2,INA,2022,1
107,DNF,0.0,96,J. Dixon,Inde GASGAS Aspar Team,12 laps,Race,Moto2,INA,2022,1
108,DNF,0.0,4,S. Kelly,American Racing,13 laps,Race,Moto2,INA,2022,1
109,DNF,0.0,81,K. Kubo,Yamaha VR46 Master Camp Team,7 laps,Race,Moto2,INA,2022,1
